INFO 2025-03-08 21:08:12,257 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:08:19,760 basehttp "GET /accounts/register-form/ HTTP/1.1" 200 8982
INFO 2025-03-08 21:08:19,786 basehttp "GET /static/js/api.js HTTP/1.1" 304 0
INFO 2025-03-08 21:08:52,483 basehttp "POST /accounts/register/ HTTP/1.1" 302 0
INFO 2025-03-08 21:08:52,492 basehttp "GET /accounts/register-form/ HTTP/1.1" 200 8982
INFO 2025-03-08 21:09:41,274 autoreload /Users/jg/owl/email_crm/accounts/views.py changed, reloading.
INFO 2025-03-08 21:09:41,660 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:09:43,324 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:10:03,174 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:10:14,851 basehttp "GET /accounts/register-form/ HTTP/1.1" 200 8982
INFO 2025-03-08 21:10:14,871 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
INFO 2025-03-08 21:10:14,872 basehttp "GET /static/js/api.js HTTP/1.1" 304 0
INFO 2025-03-08 21:10:40,750 basehttp "POST /accounts/register/ HTTP/1.1" 302 0
INFO 2025-03-08 21:10:40,758 basehttp "GET /accounts/register-form/ HTTP/1.1" 200 8982
INFO 2025-03-08 21:14:25,133 autoreload /Users/jg/owl/email_crm/accounts/views.py changed, reloading.
INFO 2025-03-08 21:14:25,505 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:14:27,669 autoreload /Users/jg/owl/email_crm/accounts/views.py changed, reloading.
INFO 2025-03-08 21:14:27,959 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:15:08,837 autoreload /Users/jg/owl/email_crm/accounts/views.py changed, reloading.
INFO 2025-03-08 21:15:09,122 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:15:28,693 autoreload /Users/jg/owl/email_crm/accounts/urls.py changed, reloading.
INFO 2025-03-08 21:15:29,000 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:15:49,482 autoreload /Users/jg/owl/email_crm/accounts/views.py changed, reloading.
INFO 2025-03-08 21:15:49,787 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:16:09,932 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:17:25,584 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:17:50,188 basehttp "GET / HTTP/1.1" 200 3458
INFO 2025-03-08 21:17:51,836 basehttp "GET /admin/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:17:51,855 basehttp "GET /admin/ HTTP/1.1" 200 8667
WARNING 2025-03-08 21:18:00,921 log Not Found: /crm/
WARNING 2025-03-08 21:18:00,922 basehttp "GET /crm/ HTTP/1.1" 404 3306
INFO 2025-03-08 21:18:06,862 basehttp "GET /dashboard/ HTTP/1.1" 200 12157
INFO 2025-03-08 21:18:06,874 basehttp "GET /static/js/api.js HTTP/1.1" 304 0
INFO 2025-03-08 21:18:06,874 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
WARNING 2025-03-08 21:18:06,889 log Unauthorized: /dashboard/data/
WARNING 2025-03-08 21:18:06,889 basehttp "GET /dashboard/data/ HTTP/1.1" 401 58
INFO 2025-03-08 21:18:06,903 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,929 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,931 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,933 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,936 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,938 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,940 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,942 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,944 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,945 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,947 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,948 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,951 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,953 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,954 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,956 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,957 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,959 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,960 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,962 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:06,963 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-08 21:18:19,414 basehttp "GET /accounts/register-form/ HTTP/1.1" 200 6754
WARNING 2025-03-08 21:18:23,667 log Unauthorized: /accounts/profile/
WARNING 2025-03-08 21:18:23,668 basehttp "GET /accounts/profile/ HTTP/1.1" 401 5136
INFO 2025-03-08 21:18:23,680 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-03-08 21:18:23,680 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2025-03-08 21:18:23,683 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-03-08 21:18:23,685 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2025-03-08 21:18:23,686 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2025-03-08 21:18:23,687 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-03-08 21:18:23,687 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-03-08 21:18:23,687 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-03-08 21:18:23,688 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-03-08 21:18:23,688 basehttp "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2025-03-08 21:18:23,710 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2025-03-08 21:18:37,842 base Method Not Allowed (GET): /accounts/logout/
WARNING 2025-03-08 21:18:37,842 log Method Not Allowed: /accounts/logout/
WARNING 2025-03-08 21:18:37,843 basehttp "GET /accounts/logout/ HTTP/1.1" 405 0
INFO 2025-03-08 21:18:45,092 basehttp "GET /accounts/register-form/ HTTP/1.1" 200 6754
INFO 2025-03-08 21:19:14,107 basehttp - Broken pipe from ('127.0.0.1', 53662)
INFO 2025-03-08 21:19:16,353 basehttp "POST /accounts/register/ HTTP/1.1" 302 0
INFO 2025-03-08 21:19:16,455 basehttp "GET /accounts/register-form/ HTTP/1.1" 200 6754
INFO 2025-03-08 21:20:27,819 autoreload /Users/jg/owl/email_crm/email_crm/settings.py changed, reloading.
INFO 2025-03-08 21:20:28,224 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:21:02,008 autoreload /Users/jg/owl/email_crm/accounts/views.py changed, reloading.
INFO 2025-03-08 21:21:02,289 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:22:40,489 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:22:52,858 autoreload Watching for file changes with StatReloader
INFO 2025-03-08 21:22:59,453 autoreload Watching for file changes with StatReloader
INFO 2025-03-09 00:19:26,160 autoreload /Users/jg/owl/email_crm/accounts/views.py changed, reloading.
INFO 2025-03-09 00:19:27,628 autoreload Watching for file changes with StatReloader
INFO 2025-03-09 00:22:20,372 autoreload Watching for file changes with StatReloader
INFO 2025-03-09 00:22:23,899 basehttp "GET /accounts/register-form/ HTTP/1.1" 200 6738
INFO 2025-03-09 00:22:23,979 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
INFO 2025-03-09 00:22:23,980 basehttp "GET /static/js/api.js HTTP/1.1" 304 0
INFO 2025-03-09 00:22:54,504 basehttp "POST /accounts/register/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:54,606 basehttp "GET /accounts/register-form/ HTTP/1.1" 200 6738
INFO 2025-03-09 00:22:58,237 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,242 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,248 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,251 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,255 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,257 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,259 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,261 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,264 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,266 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,267 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,269 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,271 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,273 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,275 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,276 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,278 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,280 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,282 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,284 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:22:58,285 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,531 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,536 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,539 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,542 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,544 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,546 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,548 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,550 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,552 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,555 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,558 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,560 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,561 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,562 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,564 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,567 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-03-09 00:23:00,570 basehttp "GET /accounts/login/ HTTP/1.1" 302 0
